"","ID","LAT","LONG","tmin_clim"
"1",1,78.87448,-75.78341,-16.5771367521367
"2",2,78.71061,16.45535,-10.9566239316239
"3",3,78.64935,16.19464,-10.2784188034188
"4",4,61.63542,12.6375,-3.29914529914528
"5",5,62.10253,12.34458,-3.80299145299143
"6",6,62.11508,12.27236,-3.10085470085468
"7",7,67.77306,17.53611,-5.07072649572647
"8",8,60.9335,6.41504,-3.68931623931622
"9",9,61.0243,8.12343,-4.47970085470083
"10",10,60.8231,7.27596,-4.15213675213673
"11",11,60.8328,7.17561,-3.60470085470083
"12",12,68.20462,18.49582,-6.23076923076921
"13",13,68.358087,18.812886,-3.06111111111109
"14",14,69.9535,-144.8089944,-11.3775641025641
"15",15,69.656,-144.1926883,-11.9205128205128
"16",16,69.8501,-144.1083833,-11.8972222222222
"17",17,69.9599,-144.0597167,-11.6235042735043
"18",18,69.9467,-144.0644667,-11.6658119658119
"19",19,70.0803,-143.1433333,-11.2741452991453
"20",20,70.083556,-143.141944,-11.2510683760684
"21",21,70.084,-143.1358333,-11.2491452991453
"22",22,69.7958,-144.809025,-11.8474358974359
"23",23,69.7977,-144.8061194,-11.8576923076923
"24",24,69.789,-144.81572,-11.8767094017094
"25",25,69.7981,-144.83792,-11.8489316239316
"26",26,69.8937,-142.8705,-11.5337606837607
"27",27,69.9711,-143.90396,-11.5901709401709
"28",28,69.971,-143.90482,-11.5901709401709
"29",29,69.8307,-143.7787667,-11.768376068376
"30",30,69.8269,-143.7653167,-11.7623931623931
"31",31,69.9699,-143.94212,-11.6021367521367
"32",32,69.97,-143.9387361,-11.6
"33",33,69.9698,-143.9126,-11.593376068376
"34",34,69.9754,-144.05095,-11.5844017094017
"35",35,69.9775,-144.01674,-11.5869658119658
"36",36,69.6954,-144.3603167,-12.1106837606837
"37",37,69.7059,-144.3684167,-12.0901709401709
"38",38,69.7327,-144.3397667,-12.142094017094
"39",39,69.7304,-144.3366167,-12.142094017094
"40",40,64.57,-18.6,-2.83376068376066
"41",41,61.56,-135.13,-4.84337606837605
"42",42,68.3284,18.8356,-3.91431623931622
"43",43,68.3244,18.8417,-4.14166666666664
"44",44,68.3145,18.858,-4.48504273504271
"45",45,68.3133,18.863,-4.54850427350425
"46",46,69.74879,23.98744,-4.46602564102562
"47",47,69.75137,23.98674,-4.43034188034186
"48",48,69.74737,23.99619,-4.48589743589741
"49",49,69.75033,23.99425,-4.46602564102562
"50",50,69.27,-53.45,-5.83482905982904
"51",51,69.068,20.8199,-6.06196581196579
"52",52,68.35572,18.49531,-6.54038461538459
"53",53,68.35683,18.49756,-6.54038461538459
"54",54,68.3551536,18.4913635,-6.54487179487177
"55",55,68.1933,18.5115,-5.28162393162391
"56",56,78.19,15.93,-9.03611111111109
"57",57,68.35,18.49,-6.54487179487177
"58",58,68.35,18.65,-6.54658119658118
"59",59,68.62,-149.61,-12.641452991453
"60",60,67.1103,-50.344,-10.0102564102564
"61",61,67.11377,-50.337,-10.0141025641025
"62",62,74.47427,-20.52895,-13.9213675213675
"63",63,68.62,-149.28,-13.032905982906
"64",64,68.4746405,-149.3521345,-12.8435897435897
"65",65,68.4759725,-149.352222,-13.6324786324786
"66",66,68.454758,-149.319503,-11.4380341880342
"67",67,69.70312,-143.626875,-11.6824786324786
"68",68,69.71159,-143.616045,-11.7051282051282
"69",69,68.5734993,-143.7246513,-12.258547008547
"70",70,78.18557,15.74496,-9.03311965811963
"71",71,70.81,147.475778,-15.616452991453
"72",72,58.63917,-63.375,-10.5903846153846
"73",73,78.87558,-75.80909,-16.4959401709401
"74",74,78.87421,-75.79867,-16.7239316239316
"75",75,78.87107,-75.79107,-16.6367521367521
"76",76,78.86192,-75.90385,-18.8032051282051
"77",77,78.86221,-75.90053,-18.8032051282051
"78",78,78.8719,-75.7826,-16.5771367521367
"79",79,65.21748,-19.71319,-2.75470085470083
"80",80,64.28083,-21.06941,-0.480982905982882
"81",81,69.57488,-138.86347,-10.6286324786325
"82",82,69.57646,-138.86774,-10.6339743589743
"83",83,70.45373011,-157.4073879,-12.5773504273504
"84",84,70.45303348,-157.4003018,-12.5773504273504
"85",85,71.31502696,-156.6010247,-11.8326923076923
"86",86,71.31051842,-156.5978987,-11.8305555555555
"87",87,70.451449,-157.403942,-12.5773504273504
"88",88,71.310312,-156.592799,-11.8305555555555
