"","permafrost","LONG","LAT"
"1","continuous",-75.78341,78.87448
"2","none",12.6375,61.63542
"3","none",12.34458,62.10253
"4","none",12.27236,62.11508
"5","none",17.53611,67.77306
"6","none",6.41504,60.9335
"7","none",8.12343,61.0243
"8","none",7.17561,60.8328
"9","none",18.49582,68.20462
"10","none",18.812886,68.358087
"11","continuous",-144.8089944,69.9535
"12","continuous",-144.1926883,69.656
"13","continuous",-144.1083833,69.8501
"14","continuous",-144.0597167,69.9599
"15","continuous",-144.0644667,69.9467
"16","continuous",-143.1433333,70.0803
"17","continuous",-143.141944,70.083556
"18","continuous",-143.1358333,70.084
"19","continuous",-144.809025,69.7958
"20","continuous",-144.8061194,69.7977
"21","continuous",-144.81572,69.789
"22","continuous",-144.83792,69.7981
"23","continuous",-142.8705,69.8937
"24","continuous",-143.90396,69.9711
"25","continuous",-143.90482,69.971
"26","continuous",-143.7787667,69.8307
"27","continuous",-143.7653167,69.8269
"28","continuous",-143.94212,69.9699
"29","continuous",-143.9387361,69.97
"30","continuous",-143.9126,69.9698
"31","continuous",-144.05095,69.9754
"32","continuous",-144.01674,69.9775
"33","continuous",-144.3603167,69.6954
"34","continuous",-144.3684167,69.7059
"35","continuous",-144.3397667,69.7327
"36","continuous",-144.3366167,69.7304
"37","sporadic",-18.6,64.57
"38","none",-135.13,61.56
"39","none",18.8356,68.3284
"40","none",18.8417,68.3244
"41","none",18.858,68.3145
"42","none",18.863,68.3133
"43","sporadic",23.98744,69.74879
"44","sporadic",23.98674,69.75137
"45","sporadic",23.99619,69.74737
"46","sporadic",23.99425,69.75033
"47","discontinuous",-53.45,69.27
"48","none",20.8199,69.068
"49","sporadic",18.49531,68.35572
"50","sporadic",18.49756,68.35683
"51","sporadic",18.4913635,68.3551536
"52","none",18.5115,68.1933
"53","continuous",15.93,78.19
"54","sporadic",18.49,68.35
"55","none",18.65,68.35
"56","continuous",-149.61,68.62
"57","continuous",-50.344,67.1103
"58","continuous",-50.337,67.11377
"59","continuous",-20.52895,74.47427
"60","continuous",-149.28,68.62
"61","continuous",-149.3521345,68.4746405
"62","continuous",-149.352222,68.4759725
"63","continuous",-149.319503,68.454758
"64","continuous",-143.626875,69.70312
"65","continuous",-143.616045,69.71159
"66","continuous",-143.7246513,68.5734993
"67","continuous",15.74496,78.18557
"68","continuous",147.475778,70.81
"69","sporadic",-63.375,58.63917
"70","continuous",-75.80909,78.87558
"71","continuous",-75.79867,78.87421
"72","continuous",-75.79107,78.87107
"73","continuous",-75.90385,78.86192
"74","continuous",-75.90053,78.86221
"75","continuous",-75.7826,78.8719
"76","none",-19.71319,65.21748
"77","none",-21.06941,64.28083
"78","continuous",-138.86347,69.57488
"79","continuous",-138.86774,69.57646
"80","continuous",-157.4073879,70.45373011
"81","continuous",-157.4003018,70.45303348
"82","continuous",-156.6010247,71.31502696
"83","continuous",-156.5978987,71.31051842
"84","continuous",-157.403942,70.451449
"85","continuous",-156.592799,71.310312
