"","SPECIES_CLEAN","Synonym"
"1","Deschampsia flexuosa","Avenella flexuosa"
"2","Lysimachia europaea","Trientalis europaea"
"3","Lysimachia europaea","Trientalis europaea"
"4","Oreojuncus trifidus","Juncus trifidus"
"5","Lycopodium complanatum","Diphasiastrum complanatum"
"6","Lycopodium complanatum","Diphasiastrum complanatum"
"7","Persicaria vivipara","Bistorta vivipara"
"8","Gnaphalium supinum","Omalotheca supina"
"9","Antennaria pulchella","Antennaria media"
"10","Antennaria pulchella","Antennaria media"
"11","Pilosella officinarum","Not available"
"12","Dactylorhiza viridis","Coeloglossum viride"
"13","Aconitum septentrionale","Aconitum lycoctonum"
"14","Pyrola rotundifolia","Not available"
"15","Carex fimbriata","Carex pilulifera"
"16","Silene apetala","Not available"
"17","Braya purpurascens","Braya glabella"
"18","Braya purpurascens","Braya glabella"
"19","Braya purpurascens","Braya glabella"
"20","Festuca richardsonii","Festuca rubra"
"21","Festuca richardsonii","Festuca rubra"
"22","Vaccinium microcarpum","Oxycoccus microcarpus"
"23","Persicaria bistorta","Not available"
"24","Hedysarum alpinum","Not available"
"25","Oxytropis campestris","Not available"
"26","Carex × turfosa","Carex nigra"
"27","Carex × turfosa","Carex nigra"
"28","Carex microcarpa","Carex aquatilis"
"29","Carex microcarpa","Carex aquatilis"
"30","Carex microcarpa","Carex aquatilis"
"31","Pedicularis sudetica","Not available"
"32","Eriophorum chamissonis","Eriophorum russeolum"
"33","Eriophorum chamissonis","Eriophorum russeolum"
"34","Doronicum grandiflorum","Not available"
"35","Calamagrostis stricta","Calamagrostis neglecta"
"36","Calamagrostis stricta","Calamagrostis neglecta"
"37","Arabidopsis lyrata","Arabidopsis petraea"
"38","Arabidopsis lyrata","Arabidopsis petraea"
"39","Arabidopsis lyrata","Arabidopsis petraea"
"40","Rumex alpestris","Rumex acetosa"
"41","Rumex alpestris","Rumex acetosa"
"42","Rumex alpestris","Rumex acetosa"
"43","Rumex alpestris","Rumex acetosa"
"44","Alopecurus magellanicus","Alopecurus borealis"
"45","Stellaria crassipes","Stellaria longipes"
"46","Salix lanata x reticulata","Not available"
"47","Cerastium glabratum","Cerastium alpinum"
"48","Cerastium glabratum","Cerastium alpinum"
"49","Cerastium glabratum","Cerastium alpinum"
"50","Cerastium glabratum","Cerastium alpinum"
"51","Salix daphnoides","Salix pulchra"
"52","Salix daphnoides","Salix pulchra"
"53","Alopecurus alpinus","Alopecurus borealis"
"54","Oreomecon radicata","Papaver radicatum"
"55","Epilobium latifolium","Chamerion latifolium"
"56","Ranunculus lapponicus","Coptidium lapponicum"
"57","Androsace ochotensis","Douglasia ochotensis"
"58","Potentilla fruticosa","Dasiphora fruticosa"
"59","Saxifraga flagellaris","Saxifraga platysepala"
"60","Cardamine digitalis","Cardamine digitata"
"61","Lagotis minor","Lagotis glauca"
"62","Lagotis minor","Lagotis glauca"
"63","Lagotis minor","Lagotis glauca"
"64","Ranunculus pallasii","Coptidium pallasii"
