,SiteSubsite,LAT,LONG
66,ABISKO:ABISKODRY_PADDUS,68.1933,18.5115
65,ABISKO:ABISKOWET_FLUX,68.20462,18.49582
20,ABISKO:ABISKOWET_MULTE,68.20462,18.49582
51,ABISKO:lower_forest,68.3284,18.8356
52,ABISKO:lower_tundra,68.3244,18.8417
21,ABISKO:PEATLAND,68.358087,18.812886
53,ABISKO:upper_forest,68.3145,18.858
54,ABISKO:upper_tundra,68.3133,18.863
100,ALEXFIORD:CASSIOPE,78.87448,-75.78341
1,ALEXFIORD:CASSIOPE_COVER,78.87448,-75.78341
98,ALEXFIORD:DOMEDOLOMITE,78.86221,-75.90053
97,ALEXFIORD:DOMEGRANITE,78.86192,-75.90385
99,ALEXFIORD:DRYAS,78.8719,-75.7826
96,ALEXFIORD:FERT,78.87107,-75.79107
94,ALEXFIORD:MEADOW,78.87558,-75.80909
95,ALEXFIORD:WILLOW,78.87421,-75.79867
82,ANWR:ATIGUN-A,68.4746405,-149.3521345
83,ANWR:ATIGUN-B,68.4759725,-149.352222
84,ANWR:ATIGUN-C,68.454758,-149.319503
22,ANWR:C2,69.9535,-144.8089944
23,ANWR:H1,69.656,-144.1926883
24,ANWR:H3,69.8501,-144.1083833
25,ANWR:H4,69.9599,-144.0597167
26,ANWR:H5,69.9467,-144.0644667
85,ANWR:JAGO-A,69.70312,-143.626875
86,ANWR:JAGO-B,69.71159,-143.616045
27,ANWR:K1,70.0803,-143.1433333
28,ANWR:K2,70.083556,-143.141944
29,ANWR:K3,70.084,-143.1358333
30,ANWR:M10,69.7958,-144.809025
31,ANWR:M11,69.7977,-144.8061194
32,ANWR:M4,69.789,-144.81572
33,ANWR:M7S,69.7981,-144.83792
34,ANWR:N11,69.8937,-142.8705
35,ANWR:O11,69.9711,-143.90396
36,ANWR:O12,69.971,-143.90482
37,ANWR:O13,69.8307,-143.7787667
38,ANWR:O15,69.8269,-143.7653167
39,ANWR:O18,69.9699,-143.94212
40,ANWR:O19,69.97,-143.9387361
41,ANWR:O3,69.9698,-143.9126
42,ANWR:O6,69.9754,-144.05095
43,ANWR:O7,69.9775,-144.01674
44,ANWR:S1,69.6954,-144.3603167
45,ANWR:S4,69.7059,-144.3684167
46,ANWR:S6,69.7327,-144.3397667
47,ANWR:S8,69.7304,-144.3366167
108,ATQASUK:AD,70.45373011,-157.4073879
112,ATQASUK:AG,70.451449,-157.403942
109,ATQASUK:AW,70.45303348,-157.4003018
104,AUDKULUHEIDI:BETULAHEATH,65.21748,-19.71319
110,BARROW:BD,71.31502696,-156.6010247
113,BARROW:BG,71.310312,-156.592799
111,BARROW:BW,71.31051842,-156.5978987
2,BILLEFJORDEN:AWS,78.71061,16.45535
87,BROOKS:SHEEN-B,68.5734993,-143.7246513
59,DISKO:DISTURBANCE,69.27,-53.45
88,ENDALEN:BIS-H,78.18557,15.74496
103,ENDALEN:BIS-L,78.18557,15.74496
89,ENDALEN:CAS-H,78.18557,15.74496
102,ENDALEN:CAS-L,78.18557,15.74496
90,ENDALEN:DRY-H,78.18557,15.74496
101,ENDALEN:DRY-L,78.18557,15.74496
4,FURI:FURI4,61.63542,12.6375
5,FURI:FURI5,61.63542,12.6375
6,FURI:FURI6,61.63542,12.6375
19,INCLINE_GUD:GUD,60.8328,7.17561
18,INCLINE_LAV:LAV,60.8231,7.27596
16,INCLINE_SKJ:SKJ,60.9335,6.41504
17,INCLINE_ULV:ULV,61.0243,8.12343
55,JOATKA:lower_forest,69.74879,23.98744
56,JOATKA:lower_tundra,69.75137,23.98674
57,JOATKA:upper_forest,69.74737,23.99619
58,JOATKA:upper_tundra,69.75033,23.99425
71,KANGER:DOPEY,67.1103,-50.344
72,KANGER:SNEEZY,67.11377,-50.337
60,KILPISJARVI:KILPISJARVI,69.068,20.8199
91,KYTALYK:LAKEBED,70.81,147.475778
61,LATNJA:DRY_HEATH,68.35572,18.49531
62,LATNJA:DRY_MEADOW,68.35683,18.49756
68,LATNJA:POOR_HEATH,68.35,18.49
69,LATNJA:RICH_MEADOW,68.35,18.65
64,LATNJA:TUSSOCK_TUNDRA,68.3551536,18.4913635
63,LATNJA:WET_MEADOW,68.3551536,18.4913635
7,LOGH:LOGH2,62.10253,12.34458
8,LOGH:LOGH4,62.10253,12.34458
9,LOGH:LOGH5,62.10253,12.34458
10,LORI:LORI1,62.11508,12.27236
11,LORI:LORI3,62.11508,12.27236
12,LORI:LORI4,62.11508,12.27236
3,PYRAMIDEN:PYR,78.64935,16.19464
106,QHI:HE,69.57488,-138.86347
107,QHI:KO,69.57646,-138.86774
13,RIRI:RIRI2,67.77306,17.53611
14,RIRI:RIRI4,67.77306,17.53611
15,RIRI:RIRI6,67.77306,17.53611
67,SADVENT:MES_POINTFRAME,78.19,15.93
105,THINGVELLIR:MOSS HEATH,64.28083,-21.06941
48,THUFUVER:PALSA,64.57,-18.6
49,THUFUVER:SALIXHEATH,64.57,-18.6
79,TOOLIK:DRY,68.62,-149.61
80,TOOLIK:IMNAVAIT,68.62,-149.28
70,TOOLIK:MOIST,68.62,-149.61
81,TOOLIK:TUSSOCKGRID,68.62,-149.61
92,TORNGATS:NAKVAKDRY,58.63917,-63.375
93,TORNGATS:NAKVAKWET,58.63917,-63.375
50,WOLFCREEK:WOLFCREEK,61.56,-135.13
73,ZACKENBERG:ABRASION PLATEAU,74.47427,-20.52895
74,ZACKENBERG:CASSIOPE TETRAGONA HEATH,74.47427,-20.52895
75,ZACKENBERG:FEN,74.47427,-20.52895
76,ZACKENBERG:GRASSLAND,74.47427,-20.52895
77,ZACKENBERG:SALIX ARCTICA SNOWBED,74.47427,-20.52895
78,ZACKENBERG:VACCINIUM ULIGONOSUM HEATH,74.47427,-20.52895
